# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions
# and other software and tools, and any partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Intel Program License
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# Generated on: Sun Dec 05 16:13:48 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
I_CLK,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
I_NRESET,Input,PIN_AA14,3B,B3B_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][0],Output,PIN_AE26,5A,B5A_N0,PIN_AE26,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][1],Output,PIN_AE27,5A,B5A_N0,PIN_AE27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][2],Output,PIN_AE28,5A,B5A_N0,PIN_AE28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][3],Output,PIN_AG27,5A,B5A_N0,PIN_AG27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][4],Output,PIN_AF28,5A,B5A_N0,PIN_AF28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][5],Output,PIN_AG28,5A,B5A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][6],Output,PIN_AH28,5A,B5A_N0,PIN_AH28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][0],Output,PIN_AJ29,5A,B5A_N0,PIN_AJ29,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][1],Output,PIN_AH29,5A,B5A_N0,PIN_AH29,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][2],Output,PIN_AH30,5A,B5A_N0,PIN_AH30,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][3],Output,PIN_AG30,5A,B5A_N0,PIN_AG30,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][4],Output,PIN_AF29,5A,B5A_N0,PIN_AF29,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][5],Output,PIN_AF30,5A,B5A_N0,PIN_AF30,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][6],Output,PIN_AD27,5A,B5A_N0,PIN_AD27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][0],Output,PIN_AB23,5A,B5A_N0,PIN_AB23,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][1],Output,PIN_AE29,5B,B5B_N0,PIN_AE29,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][2],Output,PIN_AD29,5B,B5B_N0,PIN_AD29,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][3],Output,PIN_AC28,5B,B5B_N0,PIN_AC28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][4],Output,PIN_AD30,5B,B5B_N0,PIN_AD30,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2][5],Output,PIN_AC29,5B,B5B_N0,PIN_AC29,3.3-V LVTTL,,,,,,,,,,,,,
