# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Jacob Peterson\Documents\ECE 3710\CompactRISC16\src\resources\pin_assignments\5CSEMA5F31C6N_cr16_datapath_top.csv
# Generated on: Thu Sep 23 19:30:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
I_CLK,Input,PIN_Y16,3B,B3B_N0,PIN_Y27,3.3-V LVTTL,,,,,,,,,,,,,
I_NRESET,Input,PIN_AA14,3B,B3B_N0,PIN_AK28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[2],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0],Output,,,,,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][0],Output,PIN_AE26,5A,B5A_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][1],Output,PIN_AE27,5A,B5A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][2],Output,PIN_AE28,5A,B5A_N0,PIN_AF26,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][3],Output,PIN_AG27,5A,B5A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][4],Output,PIN_AF28,5A,B5A_N0,PIN_C12,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][5],Output,PIN_AG28,5A,B5A_N0,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[0][6],Output,PIN_AH28,5A,B5A_N0,PIN_AJ27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][0],Output,PIN_AJ29,5A,B5A_N0,PIN_AG25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[1][1],Output,PIN_AH29,5A,B5A_N0,PIN_AH25,3.3-V LVTTL,,,,,,,,,,,,,
